"","Location","year","Total.Both","Universal.Credit.or.Child.Tax.Credits","Proportion.Both","Total.Universal.Credit","Universal.Credit","Proportion.Universal.Credit","Total.Child.Tax.Credit","Child.Tax.Credit","Proportion.Child.Tax.Credit","Local.authority","children_in_care"
"439","West Berkshire",2022,"1,150","560","48%","720","430","59%","430","130","30%","WEST BERKSHIRE","166"
"440","Windsor and Maidenhead",2022,"890","410","46%","470","280","58%","420","130","31%","WINDSOR AND MAIDENHEAD","126"
"441","Wokingham",2022,"950","420","45%","550","300","55%","400","120","30%","WOKINGHAM","136"
"442","Bath and North East Somerset",2022,"1,200","520","44%","760","410","54%","440","120","26%","BATH AND NORTH EAST SOMERSET","196"
"443","Bournemouth, Christchurch and Poole",2022,"3,260","1,500","46%","1,810","1,060","59%","1,450","440","30%","BOURNEMOUTH CHRISTCHURCH AND POOLE","489"
"444","Bristol, City of",2022,"5,580","2,540","45%","2,760","1,510","55%","2,820","1,030","36%","BRISTOL","690"
"445","Cornwall",2022,"5,740","2,450","43%","2,990","1,610","54%","2,750","840","30%","CORNWALL","501"
"446","North Somerset",2022,"1,600","680","43%","890","480","53%","710","210","29%","NORTH SOMERSET","200"
"447","Plymouth",2022,"3,050","1,330","44%","1,730","950","55%","1,320","380","29%","PLYMOUTH","491"
"448","South Gloucestershire",2022,"2,050","860","42%","1,020","550","53%","1,030","320","31%","SOUTH GLOUCESTERSHIRE","258"
"449","Swindon",2022,"2,390","1,080","45%","1,420","790","56%","970","290","30%","SWINDON","332"
"450","Torbay",2022,"1,650","710","43%","870","480","54%","770","230","30%","TORBAY","299"
"451","Wiltshire",2022,"3,860","1,660","43%","2,210","1,200","54%","1,640","460","28%","WILTSHIRE","426"
"452","Birmingham",2022,"30,140","13,490","45%","13,580","7,610","56%","16,560","5,880","36%","BIRMINGHAM","2100"
"453","Coventry",2022,"5,880","2,740","47%","3,150","1,750","56%","2,730","980","36%","COVENTRY","724"
"454","Dudley",2022,"4,580","2,080","45%","2,380","1,380","58%","2,210","700","32%","DUDLEY","583"
"455","Herefordshire, County of",2022,"1,620","740","46%","850","490","57%","770","260","33%","HEREFORDSHIRE","379"
"456","Sandwell",2022,"7,430","3,430","46%","3,790","2,090","55%","3,640","1,350","37%","SANDWELL","840"
"457","Shropshire",2022,"2,660","1,220","46%","1,520","860","57%","1,130","350","31%","SHROPSHIRE","610"
"458","Solihull",2022,"2,180","1,030","47%","1,180","670","57%","1,010","360","35%","SOLIHULL","528"
"459","Stoke-on-Trent",2022,"5,190","2,410","46%","2,660","1,530","57%","2,530","880","35%","STOKE ON TRENT","1022"
"460","Telford and Wrekin",2022,"3,000","1,470","49%","1,700","1,010","60%","1,300","460","35%","TELFORD AND WREKIN","423"
"461","Walsall",2022,"6,030","2,860","47%","3,110","1,780","57%","2,920","1,080","37%","WALSALL","661"
"462","Wolverhampton",2022,"5,100","2,430","48%","2,940","1,670","57%","2,160","760","35%","WOLVERHAMPTON","513"
"463","Barnsley",2022,"3,180","1,460","46%","1,900","1,060","56%","1,280","400","31%","BARNSLEY","348"
"464","Bradford",2022,"14,210","6,050","43%","5,770","3,140","54%","8,440","2,910","35%","BRADFORD","1446"
"465","Calderdale",2022,"3,130","1,470","47%","1,580","920","58%","1,550","550","35%","CALDERDALE","337"
"466","Doncaster",2022,"4,470","2,110","47%","2,660","1,550","58%","1,810","560","31%","DONCASTER","589"
"467","East Riding of Yorkshire",2022,"2,680","1,160","43%","1,520","820","54%","1,160","330","29%","EAST RIDING OF YORKSHIRE","325"
"468","Kingston upon Hull, City of",2022,"4,710","2,250","48%","2,800","1,570","56%","1,920","680","36%","KINGSTON UPON HULL","881"
"469","Kirklees",2022,"7,440","3,320","45%","3,360","1,900","56%","4,080","1,430","35%","KIRKLEES","601"
"470","Leeds",2022,"11,450","5,440","48%","6,060","3,400","56%","5,390","2,050","38%","LEEDS","1373"
"471","North East Lincolnshire",2022,"2,460","1,160","47%","1,510","870","58%","950","290","31%","NORTH EAST LINCOLNSHIRE","615"
"472","North Lincolnshire",2022,"2,220","1,010","45%","1,330","760","57%","900","250","28%","NORTH LINCOLNSHIRE","192"
"473","Rotherham",2022,"3,920","1,720","44%","2,080","1,130","54%","1,840","600","32%","ROTHERHAM","556"
"474","Sheffield",2022,"8,320","3,650","44%","3,830","2,060","54%","4,490","1,590","35%","SHEFFIELD","667"
"475","Wakefield",2022,"4,630","2,250","49%","2,570","1,480","58%","2,060","770","37%","WAKEFIELD","650"
"476","York",2022,"1,280","550","43%","710","390","54%","560","160","28%","YORK","276"
"477","Derby",2023,"4,480","2,290","51%","2,690","1,590","59%","1,790","700","39%","DERBY","620"
"478","Leicester",2023,"7,580","3,890","51%","4,150","2,530","61%","3,420","1,350","39%","LEICESTER","630"
"479","North Northamptonshire",2023,"4,160","2,240","54%","2,880","1,780","62%","1,280","460","36%","NORTH NORTHAMPTONSHIRE","545"
"480","Nottingham",2023,"6,210","3,330","54%","3,800","2,290","60%","2,410","1,040","43%","NOTTINGHAM","721"
"481","Rutland",2023,"210","110","51%","140","90","62%","70","20","28%","RUTLAND","32"
"482","West Northamptonshire",2023,"4,350","2,290","53%","2,870","1,770","61%","1,480","520","35%","WEST NORTHAMPTONSHIRE","688"
"483","Bedford",2023,"2,180","1,170","53%","1,400","880","63%","780","290","37%","BEDFORD","273"
"484","Central Bedfordshire",2023,"2,360","1,260","53%","1,610","990","61%","750","280","37%","CENTRAL BEDFORDSHIRE","380"
"485","Luton",2023,"5,240","2,710","52%","2,720","1,690","62%","2,520","1,020","41%","LUTON","420"
"486","Peterborough",2023,"4,130","2,200","53%","2,450","1,520","62%","1,680","680","41%","PETERBOROUGH","412"
"487","Southend-on-Sea",2023,"2,080","1,160","56%","1,420","900","63%","650","270","41%","SOUTHEND ON SEA","310"
"488","Thurrock",2023,"2,550","1,410","55%","1,820","1,120","61%","730","290","40%","THURROCK","292"
"489","Barking and Dagenham",2023,"5,330","2,800","53%","3,310","2,000","60%","2,020","810","40%","BARKING AND DAGENHAM","429"
"490","Barnet",2023,"4,420","2,390","54%","2,320","1,400","61%","2,100","990","47%","BARNET","334"
"491","Bexley",2023,"2,610","1,350","52%","1,740","1,010","58%","860","340","40%","BEXLEY","265"
"492","Brent",2023,"5,880","3,080","52%","3,300","2,020","61%","2,570","1,060","41%","BRENT","319"
"493","Bromley",2023,"2,220","1,170","53%","1,450","860","59%","780","310","40%","BROMLEY","343"
"494","Camden",2023,"2,180","1,120","51%","1,110","670","60%","1,070","450","42%","CAMDEN","197"
"495","Croydon",2023,"5,680","3,080","54%","4,030","2,450","61%","1,640","630","38%","CROYDON","531"
"496","Ealing",2023,"4,990","2,560","51%","2,910","1,750","60%","2,070","810","39%","EALING","297"
"497","Enfield",2023,"5,920","3,080","52%","3,370","2,110","62%","2,550","980","38%","ENFIELD","423"
"498","Greenwich",2023,"4,380","2,290","52%","2,770","1,640","59%","1,610","640","40%","GREENWICH","414"
"499","Hackney",2023,"5,510","3,330","60%","2,200","1,350","61%","3,310","1,980","60%","HACKNEY","392"
"500","Hammersmith and Fulham",2023,"1,570","800","51%","980","580","59%","590","220","38%","HAMMERSMITH AND FULHAM","212"
"501","Haringey",2023,"3,590","2,010","56%","1,910","1,180","62%","1,690","830","49%","HARINGEY","370"
"502","Harrow",2023,"3,410","1,840","54%","1,900","1,220","64%","1,510","620","41%","HARROW","179"
"503","Havering",2023,"2,830","1,520","54%","1,890","1,140","60%","940","380","40%","HAVERING","241"
"504","Hillingdon",2023,"4,170","2,230","53%","2,440","1,490","61%","1,730","740","42%","HILLINGDON","351"
"505","Hounslow",2023,"3,950","2,130","54%","2,830","1,730","61%","1,130","400","35%","HOUNSLOW","322"
"506","Islington",2023,"2,570","1,380","54%","1,460","890","61%","1,110","490","44%","ISLINGTON","325"
"507","Kensington and Chelsea",2023,"710","350","49%","380","230","59%","330","120","37%","KENSINGTON AND CHELSEA","105"
"508","Kingston upon Thames",2023,"1,110","600","54%","720","440","61%","390","160","41%","KINGSTON UPON THAMES","111"
"509","Lambeth",2023,"3,470","1,730","50%","2,170","1,260","58%","1,300","480","37%","LAMBETH","404"
"510","Lewisham",2023,"3,940","2,150","54%","2,390","1,460","61%","1,550","690","44%","LEWISHAM","439"
"511","Merton",2023,"2,000","1,010","50%","1,280","750","59%","720","260","36%","MERTON","123"
"512","Newham",2023,"7,560","4,080","54%","4,150","2,660","64%","3,410","1,420","42%","NEWHAM","411"
"513","Redbridge",2023,"4,340","2,280","52%","2,510","1,550","62%","1,830","730","40%","REDBRIDGE","315"
"514","Richmond upon Thames",2023,"840","430","51%","570","330","58%","270","100","35%","RICHMOND UPON THAMES","130"
"515","Southwark",2023,"4,010","2,100","52%","2,710","1,620","60%","1,300","480","37%","SOUTHWARK","420"
"516","Sutton",2023,"1,830","970","53%","1,340","800","60%","490","170","35%","SUTTON","234"
"517","Tower Hamlets",2023,"6,890","3,920","57%","3,740","2,530","68%","3,140","1,390","44%","TOWER HAMLETS","301"
"518","Waltham Forest",2023,"4,060","2,100","52%","2,330","1,400","60%","1,730","700","40%","WALTHAM FOREST","343"
"519","Wandsworth",2023,"2,920","1,510","52%","1,640","1,000","61%","1,280","510","40%","WANDSWORTH","237"
"520","Westminster",2023,"1,600","800","50%","840","490","58%","760","310","41%","WESTMINSTER","182"
"521","County Durham",2023,"5,980","3,240","54%","4,070","2,530","62%","1,910","710","37%","DURHAM","1067"
"522","Darlington",2023,"1,300","680","52%","900","530","59%","390","150","37%","DARLINGTON","322"
"523","Gateshead",2023,"2,340","1,320","56%","1,440","880","61%","900","430","48%","GATESHEAD","528"
"524","Hartlepool",2023,"1,450","800","55%","1,100","670","61%","360","130","38%","HARTLEPOOL","321"
"525","Middlesbrough",2023,"3,170","1,660","52%","2,150","1,260","59%","1,020","400","39%","MIDDLESBROUGH","513"
"526","Newcastle upon Tyne",2023,"4,210","2,220","53%","2,850","1,690","59%","1,360","530","39%","NEWCASTLE UPON TYNE","635"
"527","North Tyneside",2023,"1,850","960","52%","1,300","770","59%","550","190","35%","NORTH TYNESIDE","360"
"528","Northumberland",2023,"2,900","1,520","52%","1,940","1,140","59%","960","380","40%","NORTHUMBERLAND","450"
"529","Redcar and Cleveland",2023,"1,830","980","53%","1,290","760","59%","550","210","39%","REDCAR AND CLEVELAND","399"
"530","South Tyneside",2023,"1,900","1,030","54%","1,350","810","60%","550","220","41%","SOUTH TYNESIDE","310"
"531","Stockton-on-Tees",2023,"2,520","1,330","53%","1,670","1,000","60%","850","330","38%","STOCKTON ON TEES","574"
"532","Sunderland",2023,"3,330","1,840","55%","2,260","1,410","62%","1,080","430","40%","SUNDERLAND","500"
"533","Blackburn with Darwen",2023,"3,940","1,950","49%","2,100","1,240","59%","1,840","710","39%","BLACKBURN WITH DARWEN","355"
"534","Blackpool",2023,"2,310","1,270","55%","1,660","990","60%","650","290","44%","BLACKPOOL","539"
"535","Bolton",2023,"6,240","3,330","53%","3,740","2,300","61%","2,500","1,030","41%","BOLTON","562"
"536","Bury",2023,"3,000","1,630","54%","1,610","970","60%","1,400","660","47%","BURY","350"
"537","Cheshire East",2023,"3,030","1,600","53%","2,150","1,310","61%","880","300","34%","CHESHIRE EAST","580"
"538","Cheshire West and Chester",2023,"3,210","1,720","53%","2,230","1,370","61%","980","350","36%","CHESHIRE WEST AND CHESTER","589"
"539","Halton",2023,"1,790","1,020","57%","1,350","880","65%","430","140","33%","HALTON","386"
"540","Knowsley",2023,"2,390","1,340","56%","1,630","1,040","64%","760","290","38%","KNOWSLEY","328"
"541","Liverpool",2023,"6,920","3,780","55%","4,560","2,780","61%","2,360","1,000","42%","LIVERPOOL","1477"
"542","Manchester",2023,"13,260","7,020","53%","8,140","4,930","61%","5,110","2,090","41%","MANCHESTER","1332"
"543","Oldham",2023,"6,100","3,090","51%","3,460","2,130","61%","2,630","970","37%","OLDHAM","539"
"544","Rochdale",2023,"4,980","2,630","53%","3,070","1,880","61%","1,920","750","39%","ROCHDALE","602"
"545","Salford",2023,"4,860","2,880","59%","2,870","1,830","64%","1,990","1,050","53%","SALFORD","554"
"546","Sefton",2023,"2,840","1,510","53%","1,900","1,150","60%","940","360","38%","SEFTON","611"
"547","St. Helens",2023,"2,180","1,210","55%","1,560","980","63%","620","220","36%","ST HELENS","469"
"548","Stockport",2023,"2,740","1,430","52%","1,780","1,050","59%","960","370","39%","STOCKPORT","481"
"549","Tameside",2023,"3,700","2,020","55%","2,380","1,490","63%","1,330","530","40%","TAMESIDE","656"
"550","Trafford",2023,"2,050","1,020","50%","1,230","720","59%","820","300","36%","TRAFFORD","350"
"551","Warrington",2023,"1,760","930","53%","1,190","740","62%","570","190","34%","WARRINGTON","333"
"552","Wigan",2023,"3,690","2,030","55%","2,610","1,660","63%","1,080","380","35%","WIGAN","679"
"553","Wirral",2023,"3,850","2,050","53%","2,480","1,510","61%","1,370","540","40%","WIRRAL","772"
"554","Bracknell Forest",2023,"860","440","52%","600","360","59%","250","90","35%","BRACKNELL FOREST","157"
"555","Brighton and Hove",2023,"1,740","920","53%","1,070","650","60%","670","270","41%","BRIGHTON AND HOVE","345"
"556","Buckinghamshire",2023,"4,500","2,330","52%","2,660","1,640","62%","1,830","680","37%","BUCKINGHAMSHIRE","497"
"557","Isle of Wight",2023,"1,430","750","52%","910","560","61%","520","190","37%","ISLE OF WIGHT","288"
"558","Medway",2023,"3,730","2,140","57%","2,730","1,720","63%","1,000","420","42%","MEDWAY","465"
"559","Milton Keynes",2023,"3,800","1,950","51%","2,460","1,480","60%","1,340","480","35%","MILTON KEYNES","354"
"560","Portsmouth",2023,"2,640","1,410","53%","1,770","1,070","60%","870","340","39%","PORTSMOUTH","388"
"561","Reading",2023,"1,920","1,020","53%","1,180","750","63%","740","270","37%","READING","252"
"562","Slough",2023,"3,080","1,590","52%","1,780","1,070","60%","1,310","530","40%","SLOUGH","253"
"563","Southampton",2023,"3,390","1,820","54%","2,200","1,380","63%","1,190","450","37%","SOUTHAMPTON","538"
"564","West Berkshire",2023,"1,190","690","58%","890","580","65%","310","110","36%","WEST BERKSHIRE","197"
"565","Windsor and Maidenhead",2023,"870","460","52%","560","340","61%","320","110","36%","WINDSOR AND MAIDENHEAD","151"
"566","Wokingham",2023,"990","530","53%","690","420","61%","300","110","36%","WOKINGHAM","137"
"567","Bath and North East Somerset",2023,"1,230","640","52%","890","530","60%","340","110","32%","BATH AND NORTH EAST SOMERSET","228"
"568","Bournemouth, Christchurch and Poole",2023,"3,180","1,700","53%","2,070","1,310","63%","1,110","390","35%","BOURNEMOUTH CHRISTCHURCH AND POOLE","516"
"569","Bristol, City of",2023,"5,480","2,900","53%","3,280","2,000","61%","2,200","900","41%","BRISTOL","732"
"570","Cornwall",2023,"5,790","2,950","51%","3,780","2,250","60%","2,020","700","35%","CORNWALL","565"
"571","North Somerset",2023,"1,590","800","50%","1,080","630","58%","510","170","33%","NORTH SOMERSET","223"
"572","Plymouth",2023,"3,040","1,550","51%","2,040","1,230","60%","990","320","32%","PLYMOUTH","500"
"573","South Gloucestershire",2023,"2,170","1,120","52%","1,390","840","60%","780","280","36%","SOUTH GLOUCESTERSHIRE","256"
"574","Swindon",2023,"2,450","1,280","52%","1,710","1,040","61%","750","240","32%","SWINDON","338"
"575","Torbay",2023,"1,570","780","50%","990","580","58%","580","200","34%","TORBAY","314"
"576","Wiltshire",2023,"4,010","2,100","52%","2,820","1,700","60%","1,190","400","34%","WILTSHIRE","454"
"577","Birmingham",2023,"29,790","15,550","52%","16,290","10,110","62%","13,500","5,450","40%","BIRMINGHAM","2201"
"578","Coventry",2023,"5,790","3,160","54%","3,710","2,290","62%","2,080","860","41%","COVENTRY","724"
"579","Dudley",2023,"4,610","2,440","53%","2,860","1,820","63%","1,740","620","36%","DUDLEY","588"
"580","Herefordshire, County of",2023,"1,610","880","55%","1,040","680","65%","570","200","35%","HEREFORDSHIRE","412"
"581","Sandwell",2023,"7,330","3,900","53%","4,400","2,680","61%","2,940","1,220","41%","SANDWELL","800"
"582","Shropshire",2023,"2,600","1,390","53%","1,770","1,090","62%","830","290","36%","SHROPSHIRE","656"
"583","Solihull",2023,"2,180","1,160","53%","1,390","860","62%","790","310","39%","SOLIHULL","569"
"584","Stoke-on-Trent",2023,"5,060","2,740","54%","3,090","1,940","63%","1,980","800","41%","STOKE ON TRENT","1107"
"585","Telford and Wrekin",2023,"3,060","1,690","55%","2,090","1,320","63%","970","380","39%","TELFORD AND WREKIN","453"
"586","Walsall",2023,"5,990","3,250","54%","3,660","2,280","62%","2,330","960","41%","WALSALL","650"
"587","Wolverhampton",2023,"5,140","2,820","55%","3,430","2,140","63%","1,710","670","39%","WOLVERHAMPTON","501"
"588","Barnsley",2023,"3,210","1,710","53%","2,210","1,350","61%","1,000","360","36%","BARNSLEY","400"
"589","Bradford",2023,"13,840","6,890","50%","6,830","4,110","60%","7,010","2,780","40%","BRADFORD","1588"
"590","Calderdale",2023,"3,100","1,660","54%","1,810","1,150","63%","1,290","510","40%","CALDERDALE","356"
"591","Doncaster",2023,"4,540","2,470","54%","3,150","1,980","63%","1,390","490","35%","DONCASTER","542"
"592","East Riding of Yorkshire",2023,"2,660","1,370","52%","1,810","1,090","60%","850","280","33%","EAST RIDING OF YORKSHIRE","350"
"593","Kingston upon Hull, City of",2023,"4,630","2,560","55%","3,210","2,010","62%","1,420","550","39%","KINGSTON UPON HULL","773"
"594","Kirklees",2023,"7,230","3,760","52%","3,890","2,420","62%","3,340","1,340","40%","KIRKLEES","592"
"595","Leeds",2023,"11,350","6,160","54%","7,060","4,330","61%","4,300","1,830","43%","LEEDS","1450"
"596","North East Lincolnshire",2023,"2,460","1,350","55%","1,750","1,090","62%","710","260","36%","NORTH EAST LINCOLNSHIRE","575"
"597","North Lincolnshire",2023,"2,220","1,160","52%","1,530","940","61%","680","220","32%","NORTH LINCOLNSHIRE","188"
"598","Rotherham",2023,"3,780","1,950","52%","2,350","1,400","59%","1,430","550","39%","ROTHERHAM","542"
"599","Sheffield",2023,"8,170","4,200","51%","4,590","2,790","61%","3,580","1,420","40%","SHEFFIELD","653"
"600","Wakefield",2023,"4,660","2,570","55%","3,070","1,940","63%","1,590","640","40%","WAKEFIELD","635"
"601","York",2023,"1,260","630","50%","840","490","58%","430","140","33%","YORK","262"
"602",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMBRIA","740"
"603",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LANCASHIRE","1875"
"604",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH YORKSHIRE","464"
"605",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DERBYSHIRE","995"
"606",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LEICESTERSHIRE","681"
"607",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINCOLNSHIRE","728"
"608",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTHAMPTONSHIRE","z"
"609",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOTTINGHAMSHIRE","961"
"610",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STAFFORDSHIRE","1384"
"611",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WARWICKSHIRE","778"
"612",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WORCESTERSHIRE","1000"
"613",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAMBRIDGESHIRE","646"
"614",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESSEX","1164"
"615",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HERTFORDSHIRE","965"
